,Home Team,Away Team,Home Team Score,Away Team Score
129,St. Louis Cardinals,Washington Nationals,6,1
130,Texas Rangers,Los Angeles Angels,8,3
131,Pittsburgh Pirates,Boston Red Sox,3,4
132,Los Angeles Dodgers,Chicago Cubs,0,4
133,Milwaukee Brewers,Cincinnati Reds,5,1
134,Chicago White Sox,Cleveland Indians,10,4
135,Minnesota Twins,Detroit Tigers,11,5
136,Oakland Athletics,Kansas City Royals,1,3
137,New York Mets,Miami Marlins,9,8
138,Tampa Bay Rays,New York Yankees,2,3
139,Colorado Rockies,San Francisco Giants,3,1
140,Baltimore Orioles,Toronto Blue Jays,2,1
141,San Diego Padres,Atlanta Braves,2,5
142,Tampa Bay Rays,Boston Red Sox,10,5
143,Pittsburgh Pirates,Chicago Cubs,4,2
144,Milwaukee Brewers,Cincinnati Reds,10,4
145,Detroit Tigers,Cleveland Indians,7,6
146,Los Angeles Angels,Kansas City Royals,1,7
147,Arizona D'Backs,Los Angeles Dodgers,1,7
148,New York Mets,Miami Marlins,2,3
149,Chicago White Sox,Minnesota Twins,2,1
150,St. Louis Cardinals,New York Yankees,3,4
151,Houston Astros,Oakland Athletics,7,2
152,Texas Rangers,Seattle Mariners,1,2
153,Colorado Rockies,San Francisco Giants,2,8
154,Baltimore Orioles,Toronto Blue Jays,6,4
155,Philadelphia Phillies,Washington Nationals,2,3
156,San Diego Padres,Atlanta Braves,2,4
157,Tampa Bay Rays,Boston Red Sox,1,2
158,Pittsburgh Pirates,Chicago Cubs,8,7
159,Milwaukee Brewers,Cincinnati Reds,5,7
160,Detroit Tigers,Cleveland Indians,6,13
161,Los Angeles Angels,Kansas City Royals,2,3
162,Arizona D'Backs,Los Angeles Dodgers,4,8
163,New York Mets,Miami Marlins,4,5
164,Chicago White Sox,Minnesota Twins,0,6
165,St. Louis Cardinals,New York Yankees,2,3
166,Houston Astros,Oakland Athletics,10,6
167,Texas Rangers,Seattle Mariners,0,5
168,Colorado Rockies,San Francisco Giants,5,0
169,Baltimore Orioles,Toronto Blue Jays,1,2
170,Philadelphia Phillies,Washington Nationals,4,2
171,San Diego Padres,Atlanta Braves,2,9
172,Tampa Bay Rays,Boston Red Sox,5,7
173,Pittsburgh Pirates,Chicago Cubs,6,1
174,Milwaukee Brewers,Cincinnati Reds,4,2
175,Detroit Tigers,Cleveland Indians,4,1
176,Los Angeles Angels,Kansas City Royals,0,1
177,Arizona D'Backs,Los Angeles Dodgers,3,1
178,New York Mets,Miami Marlins,2,4
179,Chicago White Sox,Minnesota Twins,3,1
180,St. Louis Cardinals,New York Yankees,3,9
181,Texas Rangers,Seattle Mariners,7,8
182,Colorado Rockies,San Francisco Giants,4,3
183,Baltimore Orioles,Toronto Blue Jays,11,4
184,Philadelphia Phillies,Washington Nationals,4,6
185,San Diego Padres,Atlanta Braves,4,5
186,Tampa Bay Rays,Boston Red Sox,3,4
187,Milwaukee Brewers,Chicago Cubs,6,3
188,Los Angeles Angels,Houston Astros,0,3
189,Arizona D'Backs,Los Angeles Dodgers,4,2
190,Cleveland Indians,Minnesota Twins,3,1
191,Chicago White Sox,New York Yankees,4,7
192,Texas Rangers,Oakland Athletics,7,0
193,Miami Marlins,Seattle Mariners,1,6
194,Pittsburgh Pirates,St. Louis Cardinals,1,2
195,Washington Nationals,Atlanta Braves,3,1
196,Milwaukee Brewers,Chicago Cubs,7,9
197,Baltimore Orioles,Cincinnati Reds,3,9
198,Los Angeles Angels,Houston Astros,5,2
199,San Francisco Giants,Kansas City Royals,2,1
200,Colorado Rockies,Los Angeles Dodgers,4,3
201,Cleveland Indians,Minnesota Twins,11,4
202,Chicago White Sox,New York Yankees,4,1
203,Philadelphia Phillies,New York Mets,6,2
204,Texas Rangers,Oakland Athletics,2,4
205,Arizona D'Backs,San Diego Padres,11,2
206,Miami Marlins,Seattle Mariners,5,0
207,Pittsburgh Pirates,St. Louis Cardinals,1,2
208,Detroit Tigers,Tampa Bay Rays,1,5
209,Boston Red Sox,Toronto Blue Jays,8,7
210,Washington Nationals,Atlanta Braves,14,4
211,Milwaukee Brewers,Chicago Cubs,4,7
212,Baltimore Orioles,Cincinnati Reds,2,0
213,Los Angeles Angels,Houston Astros,1,5
214,San Francisco Giants,Kansas City Royals,0,2
215,Colorado Rockies,Los Angeles Dodgers,2,4
216,Chicago White Sox,New York Yankees,1,9
217,Philadelphia Phillies,New York Mets,4,5
218,Texas Rangers,Oakland Athletics,1,9
219,Arizona D'Backs,San Diego Padres,0,1
220,Miami Marlins,Seattle Mariners,5,10
221,Pittsburgh Pirates,St. Louis Cardinals,1,2
222,Detroit Tigers,Tampa Bay Rays,7,8
223,Boston Red Sox,Toronto Blue Jays,0,3
224,Washington Nationals,Atlanta Braves,3,2
225,Baltimore Orioles,Cincinnati Reds,2,1
226,Los Angeles Angels,Houston Astros,1,2
227,St. Louis Cardinals,Milwaukee Brewers,5,7
228,Cleveland Indians,Minnesota Twins,6,2
229,Philadelphia Phillies,New York Mets,6,4
230,Seattle Mariners,Oakland Athletics,6,9
231,Arizona D'Backs,San Diego Padres,1,4
232,Detroit Tigers,Tampa Bay Rays,1,8
233,Kansas City Royals,Texas Rangers,0,1
234,Boston Red Sox,Toronto Blue Jays,4,1
235,Toronto Blue Jays,Los Angeles Angels,8,7
236,Los Angeles Dodgers,Arizona D'Backs,5,13
237,Boston Red Sox,Baltimore Orioles,0,2
238,Cleveland Indians,Chicago White Sox,3,0
239,Chicago Cubs,Cincinnati Reds,6,5
240,San Francisco Giants,Colorado Rockies,5,6
241,St. Louis Cardinals,Milwaukee Brewers,6,3
242,Detroit Tigers,Minnesota Twins,3,6
243,Washington Nationals,New York Mets,4,3
244,Seattle Mariners,Oakland Athletics,1,3
245,Atlanta Braves,Philadelphia Phillies,3,4
246,New York Yankees,Pittsburgh Pirates,3,6
247,Miami Marlins,San Diego Padres,3,5
248,Houston Astros,Tampa Bay Rays,6,3
249,Kansas City Royals,Texas Rangers,2,6
250,Toronto Blue Jays,Los Angeles Angels,4,5
251,Los Angeles Dodgers,Arizona D'Backs,5,11
252,Boston Red Sox,Baltimore Orioles,2,4
253,Cleveland Indians,Chicago White Sox,7,0
254,Chicago Cubs,Cincinnati Reds,12,8
255,San Francisco Giants,Colorado Rockies,3,12
256,St. Louis Cardinals,Milwaukee Brewers,4,1
257,Detroit Tigers,Minnesota Twins,5,4
258,Washington Nationals,New York Mets,3,1
259,Seattle Mariners,Oakland Athletics,3,4
260,Atlanta Braves,Philadelphia Phillies,3,4
261,New York Yankees,Pittsburgh Pirates,11,5
262,Miami Marlins,San Diego Padres,6,3
263,Houston Astros,Tampa Bay Rays,3,6
264,Kansas City Royals,Texas Rangers,1,2
265,Toronto Blue Jays,Los Angeles Angels,6,2
266,Los Angeles Dodgers,Arizona D'Backs,6,2
267,Boston Red Sox,Baltimore Orioles,6,2
268,Cleveland Indians,Chicago White Sox,2,6
269,Chicago Cubs,Cincinnati Reds,5,7
270,San Francisco Giants,Colorado Rockies,0,8
271,St. Louis Cardinals,Milwaukee Brewers,6,4
272,Detroit Tigers,Minnesota Twins,13,4
273,Washington Nationals,New York Mets,6,3
274,Seattle Mariners,Oakland Athletics,11,1
275,Atlanta Braves,Philadelphia Phillies,2,5
276,New York Yankees,Pittsburgh Pirates,1,2
277,Miami Marlins,San Diego Padres,7,3
278,Houston Astros,Tampa Bay Rays,6,4
279,Kansas City Royals,Texas Rangers,2,5
280,Toronto Blue Jays,Los Angeles Angels,1,2
281,San Diego Padres,Arizona D'Backs,6,7
282,Tampa Bay Rays,Baltimore Orioles,3,6
283,Kansas City Royals,Chicago White Sox,1,12
284,Washington Nationals,Colorado Rockies,4,8
285,Cincinnati Reds,Milwaukee Brewers,7,11
286,Chicago Cubs,Pittsburgh Pirates,14,3
287,Los Angeles Dodgers,San Francisco Giants,1,2
288,Minnesota Twins,Texas Rangers,3,2
289,Oakland Athletics,Los Angeles Angels,1,2
290,San Diego Padres,Arizona D'Backs,3,9
291,Tampa Bay Rays,Baltimore Orioles,2,0
292,Kansas City Royals,Chicago White Sox,5,10
293,Houston Astros,Cleveland Indians,4,2
294,Washington Nationals,Colorado Rockies,15,12
295,Seattle Mariners,Detroit Tigers,9,19
296,Cincinnati Reds,Milwaukee Brewers,1,9
297,Chicago Cubs,Pittsburgh Pirates,1,0
298,Los Angeles Dodgers,San Francisco Giants,2,1
299,Toronto Blue Jays,St. Louis Cardinals,6,5
300,Minnesota Twins,Texas Rangers,8,1
301,Oakland Athletics,Los Angeles Angels,5,8
302,San Diego Padres,Arizona D'Backs,8,5
