,Home Team,Away Team,Home Team Score,Away Team Score
0,St. Louis Cardinals,Chicago Cubs,3,0
1,San Francisco Giants,Arizona D'Backs,5,4
2,Pittsburgh Pirates,Cincinnati Reds,2,5
3,Minnesota Twins,Detroit Tigers,0,4
4,Cleveland Indians,Houston Astros,0,2
5,Chicago White Sox,Kansas City Royals,1,10
6,San Diego Padres,Los Angeles Dodgers,3,6
7,Atlanta Braves,Miami Marlins,2,1
8,Colorado Rockies,Milwaukee Brewers,10,0
9,Toronto Blue Jays,New York Yankees,6,1
10,Texas Rangers,Oakland Athletics,0,8
11,Boston Red Sox,Philadelphia Phillies,8,0
12,Los Angeles Angels,Seattle Mariners,1,4
13,Baltimore Orioles,Tampa Bay Rays,6,2
14,New York Mets,Washington Nationals,3,1
15,San Francisco Giants,Arizona D'Backs,6,7
16,San Diego Padres,Los Angeles Dodgers,7,3
17,Atlanta Braves,Miami Marlins,12,2
18,Colorado Rockies,Milwaukee Brewers,5,2
19,Texas Rangers,Oakland Athletics,3,1
20,Los Angeles Angels,Seattle Mariners,2,0
21,Baltimore Orioles,Tampa Bay Rays,6,5
22,San Francisco Giants,Arizona D'Backs,5,2
23,St. Louis Cardinals,Chicago Cubs,0,2
24,Pittsburgh Pirates,Cincinnati Reds,4,5
25,Minnesota Twins,Detroit Tigers,0,11
26,Cleveland Indians,Houston Astros,2,0
27,Chicago White Sox,Kansas City Royals,5,7
28,San Diego Padres,Los Angeles Dodgers,4,7
29,Atlanta Braves,Miami Marlins,2,0
30,Colorado Rockies,Milwaukee Brewers,5,4
31,Toronto Blue Jays,New York Yankees,3,4
32,Texas Rangers,Oakland Athletics,0,10
33,Boston Red Sox,Philadelphia Phillies,2,4
34,Los Angeles Angels,Seattle Mariners,5,3
35,Baltimore Orioles,Tampa Bay Rays,0,2
36,New York Mets,Washington Nationals,1,2
37,Pittsburgh Pirates,Cincinnati Reds,2,3
38,Minnesota Twins,Detroit Tigers,1,7
39,Cleveland Indians,Houston Astros,5,1
40,Chicago White Sox,Kansas City Royals,1,4
41,Toronto Blue Jays,New York Yankees,6,3
42,Texas Rangers,Oakland Athletics,10,1
43,Boston Red Sox,Philadelphia Phillies,6,2
44,San Francisco Giants,San Diego Padres,1,0
45,New York Mets,Washington Nationals,6,3
46,Kansas City Royals,Los Angeles Angels,4,2
