,Season,Team,W,L,SV,G,GS,IP,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
55,2016.0,Mets,87.0,75.0,55.0,700.0,162.0,1447.0,1396.0,8.68,2.73,0.95,0.308,0.7559999999999999,0.442,0.111,3.58,3.57,3.78,23.6
56,2011.0,Nationals,80.0,81.0,49.0,664.0,161.0,1449.1,1049.0,6.51,2.96,0.8,0.287,0.736,0.446,0.08199999999999999,3.58,3.83,4.04,13.8
57,2010.0,Athletics,81.0,81.0,38.0,585.0,162.0,1431.2,1070.0,6.73,3.22,0.96,0.274,0.7509999999999999,0.461,0.09699999999999999,3.58,4.13,4.08,13.1
58,2011.0,Rays,91.0,71.0,32.0,600.0,162.0,1449.0,1143.0,7.1,3.13,1.0,0.265,0.755,0.42100000000000004,0.098,3.58,4.03,4.01,14.6
59,2014.0,Reds,76.0,86.0,44.0,590.0,162.0,1446.0,1290.0,8.03,3.16,1.01,0.277,0.765,0.451,0.11599999999999999,3.59,4.01,3.75,12.8
60,2013.0,Nationals,86.0,76.0,47.0,602.0,162.0,1445.2,1236.0,7.69,2.52,0.88,0.291,0.737,0.45,0.098,3.59,3.55,3.64,17.1
61,2013.0,Tigers,93.0,69.0,39.0,590.0,162.0,1462.2,1428.0,8.79,2.84,0.79,0.306,0.737,0.45399999999999996,0.092,3.61,3.27,3.43,26.8
62,2015.0,Nationals,83.0,79.0,41.0,630.0,162.0,1434.2,1342.0,8.42,2.28,0.91,0.3,0.727,0.447,0.10300000000000001,3.62,3.45,3.58,21.6
63,2013.0,Rangers,91.0,72.0,46.0,638.0,163.0,1463.1,1309.0,8.05,3.06,0.97,0.293,0.755,0.428,0.107,3.63,3.77,3.75,20.1
64,2011.0,Brewers,96.0,66.0,47.0,596.0,162.0,1441.2,1257.0,7.85,2.75,0.92,0.288,0.732,0.447,0.09699999999999999,3.64,3.59,3.58,21.0
65,2018.0,Cubs,95.0,68.0,46.0,763.0,163.0,1476.1,1333.0,8.13,3.79,0.96,0.284,0.762,0.45,0.115,3.65,4.14,4.29,12.9
66,2009.0,Cardinals,91.0,71.0,43.0,643.0,162.0,1440.2,1049.0,6.55,2.87,0.77,0.292,0.732,0.498,0.087,3.66,3.82,4.0,19.6
67,2014.0,Brewers,82.0,80.0,45.0,640.0,162.0,1457.2,1246.0,7.69,2.66,1.03,0.289,0.74,0.456,0.113,3.67,3.89,3.65,13.6
68,2017.0,Diamondbacks,93.0,69.0,43.0,675.0,162.0,1441.0,1482.0,9.26,3.22,1.07,0.294,0.742,0.48100000000000004,0.131,3.67,3.8,3.86,23.3
