,Home Team,Away Team,Home Team Score,Away Team Score
80,Houston Astros,Milwaukee Brewers,2,3
81,Philadelphia Phillies,New York Mets,5,2
82,Oakland Athletics,Seattle Mariners,2,1
83,Los Angeles Dodgers,San Francisco Giants,6,9
84,Boston Red Sox,Toronto Blue Jays,0,3
85,Miami Marlins,Washington Nationals,2,4
86,Baltimore Orioles,Boston Red Sox,9,7
87,Cincinnati Reds,Chicago Cubs,3,5
88,Pittsburgh Pirates,Detroit Tigers,7,4
89,Kansas City Royals,Houston Astros,2,8
90,Chicago White Sox,Minnesota Twins,4,1
91,Miami Marlins,New York Mets,10,3
92,Los Angeles Angels,Oakland Athletics,4,1
93,San Diego Padres,Philadelphia Phillies,4,3
94,Texas Rangers,Seattle Mariners,7,3
95,Milwaukee Brewers,St. Louis Cardinals,1,10
96,Atlanta Braves,Washington Nationals,4,6
97,Baltimore Orioles,Boston Red Sox,9,5
98,San Francisco Giants,Colorado Rockies,7,2
99,Pittsburgh Pirates,Detroit Tigers,2,8
100,Kansas City Royals,Houston Astros,3,2
101,Arizona D'Backs,Los Angeles Dodgers,4,2
102,Miami Marlins,New York Mets,2,1
103,Los Angeles Angels,Oakland Athletics,5,4
104,San Diego Padres,Philadelphia Phillies,0,3
105,Texas Rangers,Seattle Mariners,8,0
106,Cleveland Indians,Tampa Bay Rays,1,5
107,New York Yankees,Toronto Blue Jays,3,2
108,Atlanta Braves,Washington Nationals,1,2
109,Baltimore Orioles,Boston Red Sox,2,4
110,Cincinnati Reds,Chicago Cubs,2,9
111,San Francisco Giants,Colorado Rockies,6,10
112,Kansas City Royals,Houston Astros,4,2
113,Arizona D'Backs,Los Angeles Dodgers,1,3
114,Chicago White Sox,Minnesota Twins,3,0
115,Miami Marlins,New York Mets,1,2
116,Los Angeles Angels,Oakland Athletics,5,1
117,San Diego Padres,Philadelphia Phillies,1,2
118,Detroit Tigers,Pittsburgh Pirates,7,3
119,Texas Rangers,Seattle Mariners,2,4
120,Milwaukee Brewers,St. Louis Cardinals,6,4
121,Cleveland Indians,Tampa Bay Rays,4,1
122,New York Yankees,Toronto Blue Jays,2,7
123,Atlanta Braves,Washington Nationals,0,3
124,Cincinnati Reds,Chicago Cubs,1,8
125,San Francisco Giants,Colorado Rockies,6,11
126,Kansas City Royals,Houston Astros,6,2
127,Arizona D'Backs,Los Angeles Dodgers,2,5
128,Chicago White Sox,Minnesota Twins,3,1
129,San Diego Padres,Philadelphia Phillies,0,3
130,Detroit Tigers,Pittsburgh Pirates,7,4
131,Milwaukee Brewers,St. Louis Cardinals,0,7
132,Cleveland Indians,Tampa Bay Rays,6,0
133,Baltimore Orioles,Texas Rangers,3,6
134,New York Yankees,Toronto Blue Jays,2,4
135,Atlanta Braves,Washington Nationals,2,6
136,Toronto Blue Jays,Boston Red Sox,3,5
137,Colorado Rockies,Chicago Cubs,6,1
138,New York Mets,Cleveland Indians,6,5
139,Detroit Tigers,Houston Astros,0,1
140,San Francisco Giants,Los Angeles Dodgers,3,7
141,Atlanta Braves,Miami Marlins,6,3
142,Los Angeles Angels,Minnesota Twins,4,5
143,Seattle Mariners,New York Yankees,7,1
144,Kansas City Royals,Oakland Athletics,4,2
145,Washington Nationals,Philadelphia Phillies,9,1
146,Milwaukee Brewers,Pittsburgh Pirates,8,4
147,Arizona D'Backs,San Diego Padres,3,2
148,Cincinnati Reds,St. Louis Cardinals,3,14
149,Chicago White Sox,Tampa Bay Rays,1,0
150,Baltimore Orioles,Texas Rangers,11,5
151,Toronto Blue Jays,Boston Red Sox,2,4
152,Colorado Rockies,Chicago Cubs,2,6
153,New York Mets,Cleveland Indians,5,7
154,Detroit Tigers,Houston Astros,5,3
155,San Francisco Giants,Los Angeles Dodgers,4,3
156,Atlanta Braves,Miami Marlins,6,4
157,Los Angeles Angels,Minnesota Twins,4,6
158,Seattle Mariners,New York Yankees,3,2
159,Kansas City Royals,Oakland Athletics,3,5
160,Washington Nationals,Philadelphia Phillies,8,1
161,Milwaukee Brewers,Pittsburgh Pirates,0,5
162,Arizona D'Backs,San Diego Padres,3,5
163,Cincinnati Reds,St. Louis Cardinals,9,8
164,Chicago White Sox,Tampa Bay Rays,2,7
165,Baltimore Orioles,Texas Rangers,4,8
166,Toronto Blue Jays,Boston Red Sox,5,3
167,Colorado Rockies,Chicago Cubs,2,0
168,New York Mets,Cleveland Indians,6,0
169,Detroit Tigers,Houston Astros,4,5
170,San Francisco Giants,Los Angeles Dodgers,1,3
171,Atlanta Braves,Miami Marlins,6,5
172,Los Angeles Angels,Minnesota Twins,2,3
173,Seattle Mariners,New York Yankees,3,4
174,Kansas City Royals,Oakland Athletics,2,3
175,Washington Nationals,Philadelphia Phillies,2,3
176,Milwaukee Brewers,Pittsburgh Pirates,3,9
177,Arizona D'Backs,San Diego Padres,7,3
178,Cincinnati Reds,St. Louis Cardinals,3,4
179,Chicago White Sox,Tampa Bay Rays,2,3
180,Toronto Blue Jays,Boston Red Sox,4,3
181,Los Angeles Angels,Chicago White Sox,7,0
182,Colorado Rockies,Cincinnati Reds,5,1
183,Washington Nationals,Miami Marlins,1,6
184,Milwaukee Brewers,Minnesota Twins,4,7
185,New York Mets,Philadelphia Phillies,5,2
186,Arizona D'Backs,San Francisco Giants,9,7
187,Chicago Cubs,St. Louis Cardinals,5,0
188,Los Angeles Dodgers,Atlanta Braves,1,8
189,Toronto Blue Jays,Baltimore Orioles,4,3
190,Tampa Bay Rays,Boston Red Sox,3,0
191,Los Angeles Angels,Chicago White Sox,0,5
192,Colorado Rockies,Cincinnati Reds,3,4
193,Seattle Mariners,Cleveland Indians,2,3
194,Detroit Tigers,Kansas City Royals,6,8
195,Washington Nationals,Miami Marlins,7,0
196,Milwaukee Brewers,Minnesota Twins,6,5
197,Oakland Athletics,New York Yankees,3,2
198,New York Mets,Philadelphia Phillies,11,1
199,Pittsburgh Pirates,San Diego Padres,4,5
200,Arizona D'Backs,San Francisco Giants,3,0
201,Chicago Cubs,St. Louis Cardinals,2,1
202,Houston Astros,Texas Rangers,5,7
203,Los Angeles Dodgers,Atlanta Braves,5,3
204,Toronto Blue Jays,Baltimore Orioles,3,4
205,Tampa Bay Rays,Boston Red Sox,3,7
206,Los Angeles Angels,Chicago White Sox,1,2
207,Colorado Rockies,Cincinnati Reds,5,6
208,Seattle Mariners,Cleveland Indians,2,1
209,Detroit Tigers,Kansas City Royals,3,2
210,Washington Nationals,Miami Marlins,3,1
211,Minnesota Twins,Milwaukee Brewers,5,10
212,Oakland Athletics,New York Yankees,5,2
213,New York Mets,Philadelphia Phillies,4,5
214,Pittsburgh Pirates,San Diego Padres,2,8
215,Arizona D'Backs,San Francisco Giants,2,1
216,Chicago Cubs,St. Louis Cardinals,3,5
217,Houston Astros,Texas Rangers,1,2
218,Los Angeles Dodgers,Atlanta Braves,2,1
219,Toronto Blue Jays,Baltimore Orioles,2,3
220,Tampa Bay Rays,Boston Red Sox,12,8
221,Los Angeles Angels,Chicago White Sox,3,2
222,Chicago Cubs,Cincinnati Reds,16,0
223,Seattle Mariners,Cleveland Indians,10,7
224,Detroit Tigers,Kansas City Royals,0,4
225,Washington Nationals,Miami Marlins,1,5
226,Minnesota Twins,Milwaukee Brewers,8,1
227,Oakland Athletics,New York Yankees,7,3
228,Pittsburgh Pirates,San Diego Padres,11,1
229,Arizona D'Backs,San Francisco Giants,6,2
230,Houston Astros,Texas Rangers,4,7
231,Seattle Mariners,Los Angeles Angels,5,2
232,Pittsburgh Pirates,Arizona D'Backs,8,7
233,New York Mets,Atlanta Braves,6,3
234,Texas Rangers,Chicago White Sox,0,5
235,Chicago Cubs,Cincinnati Reds,8,1
236,Los Angeles Dodgers,Colorado Rockies,5,7
237,Cleveland Indians,Detroit Tigers,2,1
238,Boston Red Sox,Houston Astros,6,2
239,Baltimore Orioles,Kansas City Royals,2,4
240,Philadelphia Phillies,Milwaukee Brewers,5,2
241,Tampa Bay Rays,New York Yankees,3,6
242,St. Louis Cardinals,San Diego Padres,1,4
243,Miami Marlins,San Francisco Giants,1,8
244,Oakland Athletics,Toronto Blue Jays,8,5
245,Minnesota Twins,Washington Nationals,4,8
246,Seattle Mariners,Los Angeles Angels,2,4
247,Pittsburgh Pirates,Arizona D'Backs,1,7
248,New York Mets,Atlanta Braves,8,2
249,Texas Rangers,Chicago White Sox,3,4
250,Chicago Cubs,Cincinnati Reds,5,13
251,Los Angeles Dodgers,Colorado Rockies,4,1
252,Cleveland Indians,Detroit Tigers,10,1
253,Boston Red Sox,Houston Astros,3,8
254,Baltimore Orioles,Kansas City Royals,8,3
255,Philadelphia Phillies,Milwaukee Brewers,10,6
256,Tampa Bay Rays,New York Yankees,2,3
257,St. Louis Cardinals,San Diego Padres,11,2
258,Miami Marlins,San Francisco Giants,2,7
259,Oakland Athletics,Toronto Blue Jays,3,9
260,Minnesota Twins,Washington Nationals,0,2
261,Seattle Mariners,Los Angeles Angels,9,4
262,Pittsburgh Pirates,Arizona D'Backs,12,10
263,New York Mets,Atlanta Braves,3,2
264,Texas Rangers,Chicago White Sox,1,4
265,Chicago Cubs,Cincinnati Reds,9,0
266,Los Angeles Dodgers,Colorado Rockies,12,10
267,Cleveland Indians,Detroit Tigers,6,3
268,Boston Red Sox,Houston Astros,7,5
269,Baltimore Orioles,Kansas City Royals,1,6
270,Philadelphia Phillies,Milwaukee Brewers,5,8
271,Tampa Bay Rays,New York Yankees,8,1
272,St. Louis Cardinals,San Diego Padres,8,5
273,Miami Marlins,San Francisco Giants,5,4
274,Oakland Athletics,Toronto Blue Jays,3,6
275,Minnesota Twins,Washington Nationals,5,6
276,Kansas City Royals,Los Angeles Angels,1,6
277,St. Louis Cardinals,Arizona D'Backs,7,12
278,Boston Red Sox,Atlanta Braves,1,0
279,Pittsburgh Pirates,Colorado Rockies,6,1
280,Oakland Athletics,Detroit Tigers,3,7
281,Miami Marlins,Los Angeles Dodgers,3,2
282,Cleveland Indians,Minnesota Twins,3,4
283,Cincinnati Reds,New York Mets,3,5
284,Houston Astros,Seattle Mariners,2,3
285,San Diego Padres,San Francisco Giants,4,5
286,Baltimore Orioles,Tampa Bay Rays,0,2
287,New York Yankees,Texas Rangers,3,1
288,Chicago White Sox,Toronto Blue Jays,7,5
289,Kansas City Royals,Los Angeles Angels,4,9
290,St. Louis Cardinals,Arizona D'Backs,8,2
291,Boston Red Sox,Atlanta Braves,11,4
292,Milwaukee Brewers,Chicago Cubs,3,4
293,Pittsburgh Pirates,Colorado Rockies,9,4
294,Oakland Athletics,Detroit Tigers,5,1
295,Miami Marlins,Los Angeles Dodgers,6,3
296,Cleveland Indians,Minnesota Twins,5,6
297,Cincinnati Reds,New York Mets,3,4
298,Houston Astros,Seattle Mariners,1,11
299,San Diego Padres,San Francisco Giants,0,1
300,Baltimore Orioles,Tampa Bay Rays,1,3
301,New York Yankees,Texas Rangers,1,10
302,Chicago White Sox,Toronto Blue Jays,10,1
303,Philadelphia Phillies,Washington Nationals,4,3
304,Kansas City Royals,Los Angeles Angels,2,4
305,St. Louis Cardinals,Arizona D'Backs,11,4
306,Atlanta Braves,Boston Red Sox,4,9
307,Pittsburgh Pirates,Colorado Rockies,9,8
308,Oakland Athletics,Detroit Tigers,4,9
309,Miami Marlins,Los Angeles Dodgers,2,0
310,Cleveland Indians,Minnesota Twins,6,5
311,Cincinnati Reds,New York Mets,2,5
312,Houston Astros,Seattle Mariners,7,4
313,San Diego Padres,San Francisco Giants,9,13
314,Baltimore Orioles,Tampa Bay Rays,3,1
315,New York Yankees,Texas Rangers,2,3
316,Chicago White Sox,Toronto Blue Jays,4,0
317,Philadelphia Phillies,Washington Nationals,3,0
318,St. Louis Cardinals,Arizona D'Backs,0,3
319,Chicago White Sox,Baltimore Orioles,2,10
320,Atlanta Braves,Boston Red Sox,5,3
321,Milwaukee Brewers,Chicago Cubs,2,7
322,Oakland Athletics,Detroit Tigers,3,7
323,Miami Marlins,Los Angeles Dodgers,5,3
324,Philadelphia Phillies,Washington Nationals,3,0
325,Colorado Rockies,Arizona D'Backs,9,0
326,Chicago White Sox,Baltimore Orioles,3,6
327,New York Yankees,Boston Red Sox,2,4
328,Atlanta Braves,Chicago Cubs,1,6
329,San Diego Padres,Los Angeles Dodgers,5,1
330,Miami Marlins,Milwaukee Brewers,6,3
331,Detroit Tigers,Minnesota Twins,9,2
332,San Francisco Giants,New York Mets,1,13
333,Houston Astros,Oakland Athletics,4,7
334,Cleveland Indians,Philadelphia Phillies,3,4
335,Cincinnati Reds,Pittsburgh Pirates,1,4
336,Kansas City Royals,Seattle Mariners,0,1
337,Washington Nationals,St. Louis Cardinals,5,4
338,Toronto Blue Jays,Tampa Bay Rays,6,1
339,Los Angeles Angels,Texas Rangers,2,4
340,Colorado Rockies,Arizona D'Backs,5,2
341,Chicago White Sox,Baltimore Orioles,8,7
342,New York Yankees,Boston Red Sox,0,8
343,San Diego Padres,Los Angeles Dodgers,5,2
344,Miami Marlins,Milwaukee Brewers,7,5
345,Detroit Tigers,Minnesota Twins,4,1
346,San Francisco Giants,New York Mets,5,6
347,Houston Astros,Oakland Athletics,0,2
348,Cleveland Indians,Philadelphia Phillies,3,4
349,Cincinnati Reds,Pittsburgh Pirates,1,5
350,Kansas City Royals,Seattle Mariners,0,6
351,Washington Nationals,St. Louis Cardinals,6,1
352,Toronto Blue Jays,Tampa Bay Rays,3,4
353,Los Angeles Angels,Texas Rangers,2,7
354,Colorado Rockies,Arizona D'Backs,6,3
355,Chicago White Sox,Baltimore Orioles,7,1
356,New York Yankees,Boston Red Sox,7,8
357,Atlanta Braves,Chicago Cubs,4,3
358,San Diego Padres,Los Angeles Dodgers,0,1
359,Miami Marlins,Milwaukee Brewers,5,14
360,Detroit Tigers,Minnesota Twins,6,5
361,San Francisco Giants,New York Mets,6,1
362,Houston Astros,Oakland Athletics,2,1
363,Cleveland Indians,Philadelphia Phillies,1,2
364,Cincinnati Reds,Pittsburgh Pirates,6,5
365,Kansas City Royals,Seattle Mariners,4,1
366,Washington Nationals,St. Louis Cardinals,6,1
367,Toronto Blue Jays,Tampa Bay Rays,5,1
368,Los Angeles Angels,Texas Rangers,9,6
369,San Francisco Giants,Cincinnati Reds,9,6
370,Minnesota Twins,Houston Astros,6,2
371,Washington Nationals,Kansas City Royals,2,0
372,Los Angeles Angels,Milwaukee Brewers,5,8
373,Atlanta Braves,New York Mets,1,4
374,Seattle Mariners,Oakland Athletics,4,3
375,Chicago Cubs,Pittsburgh Pirates,7,2
376,Colorado Rockies,San Diego Padres,1,2
377,Philadelphia Phillies,St. Louis Cardinals,3,10
378,Texas Rangers,Toronto Blue Jays,2,1
379,New York Yankees,Baltimore Orioles,1,4
380,Boston Red Sox,Chicago White Sox,1,4
381,San Francisco Giants,Cincinnati Reds,3,1
382,Detroit Tigers,Cleveland Indians,3,7
383,Minnesota Twins,Houston Astros,4,6
384,Washington Nationals,Kansas City Royals,6,7
385,Arizona D'Backs,Miami Marlins,4,7
386,Los Angeles Angels,Milwaukee Brewers,4,5
387,Atlanta Braves,New York Mets,3,0
388,Seattle Mariners,Oakland Athletics,8,2
389,Chicago Cubs,Pittsburgh Pirates,7,1
390,Colorado Rockies,San Diego Padres,3,6
391,Philadelphia Phillies,St. Louis Cardinals,1,0
392,Los Angeles Dodgers,Tampa Bay Rays,10,5
393,Texas Rangers,Toronto Blue Jays,1,3
394,New York Yankees,Baltimore Orioles,7,0
395,Boston Red Sox,Chicago White Sox,5,2
396,San Francisco Giants,Cincinnati Reds,4,7
397,Detroit Tigers,Cleveland Indians,0,4
398,Minnesota Twins,Houston Astros,4,16
399,Washington Nationals,Kansas City Royals,13,2
400,Arizona D'Backs,Miami Marlins,3,4
401,Los Angeles Angels,Milwaukee Brewers,7,3
402,Atlanta Braves,New York Mets,0,8
403,Seattle Mariners,Oakland Athletics,9,8
404,Chicago Cubs,Pittsburgh Pirates,6,2
405,Colorado Rockies,San Diego Padres,2,0
406,Philadelphia Phillies,St. Louis Cardinals,4,5
407,Los Angeles Dodgers,Tampa Bay Rays,5,8
408,Texas Rangers,Toronto Blue Jays,3,4
409,New York Yankees,Baltimore Orioles,0,1
410,Boston Red Sox,Chicago White Sox,7,3
411,Washington Nationals,Chicago Cubs,2,5
412,Milwaukee Brewers,Cincinnati Reds,5,9
413,Detroit Tigers,Cleveland Indians,4,9
414,Seattle Mariners,Houston Astros,6,3
415,Arizona D'Backs,Miami Marlins,0,4
416,New York Mets,San Diego Padres,3,5
417,Colorado Rockies,San Francisco Giants,17,7
418,Philadelphia Phillies,St. Louis Cardinals,0,4
419,Texas Rangers,Toronto Blue Jays,2,12
420,Tampa Bay Rays,Los Angeles Angels,5,2
421,Arizona D'Backs,Atlanta Braves,7,2
422,Minnesota Twins,Chicago White Sox,4,10
423,Washington Nationals,Chicago Cubs,6,8
424,Milwaukee Brewers,Cincinnati Reds,1,5
425,Kansas City Royals,Cleveland Indians,1,7
426,Texas Rangers,Detroit Tigers,5,1
427,Seattle Mariners,Houston Astros,3,6
428,Philadelphia Phillies,Miami Marlins,4,6
429,Boston Red Sox,New York Yankees,2,3
430,New York Mets,San Diego Padres,0,2
431,Colorado Rockies,San Francisco Giants,4,6
432,Pittsburgh Pirates,St. Louis Cardinals,4,2
433,Los Angeles Dodgers,Toronto Blue Jays,2,5
434,Tampa Bay Rays,Los Angeles Angels,4,2
435,Arizona D'Backs,Atlanta Braves,4,2
436,Oakland Athletics,Baltimore Orioles,8,4
437,Oakland Athletics,Baltimore Orioles,2,5
438,Minnesota Twins,Chicago White Sox,2,7
439,Washington Nationals,Chicago Cubs,5,8
440,Milwaukee Brewers,Cincinnati Reds,13,7
441,Kansas City Royals,Cleveland Indians,7,0
442,Texas Rangers,Detroit Tigers,10,5
443,Seattle Mariners,Houston Astros,3,2
444,Philadelphia Phillies,Miami Marlins,4,3
445,Boston Red Sox,New York Yankees,2,8
446,New York Mets,San Diego Padres,6,3
447,Colorado Rockies,San Francisco Giants,1,2
448,Pittsburgh Pirates,St. Louis Cardinals,4,6
449,Los Angeles Dodgers,Toronto Blue Jays,6,2
450,Tampa Bay Rays,Los Angeles Angels,3,1
451,Arizona D'Backs,Atlanta Braves,5,3
452,Oakland Athletics,Baltimore Orioles,3,11
453,Minnesota Twins,Chicago White Sox,1,3
454,Washington Nationals,Chicago Cubs,3,4
455,Milwaukee Brewers,Cincinnati Reds,5,4
456,Kansas City Royals,Cleveland Indians,4,5
457,Texas Rangers,Detroit Tigers,8,3
458,Seattle Mariners,Houston Astros,1,5
459,Philadelphia Phillies,Miami Marlins,6,5
460,Boston Red Sox,New York Yankees,5,1
461,New York Mets,San Diego Padres,4,3
462,Colorado Rockies,San Francisco Giants,2,0
463,Pittsburgh Pirates,St. Louis Cardinals,10,5
464,Los Angeles Dodgers,Toronto Blue Jays,4,2
465,Oakland Athletics,Boston Red Sox,7,14
466,Pittsburgh Pirates,Cincinnati Reds,2,3
467,Arizona D'Backs,Colorado Rockies,10,5
468,Cleveland Indians,Houston Astros,1,7
469,New York Mets,Los Angeles Dodgers,4,2
470,Milwaukee Brewers,Miami Marlins,1,4
471,Kansas City Royals,New York Yankees,3,6
472,Tampa Bay Rays,Seattle Mariners,2,5
473,Toronto Blue Jays,San Francisco Giants,3,1
474,Chicago White Sox,Texas Rangers,8,4
475,Detroit Tigers,Washington Nationals,4,5
476,St. Louis Cardinals,Los Angeles Angels,8,1
477,Philadelphia Phillies,Atlanta Braves,3,2
478,Oakland Athletics,Boston Red Sox,5,13
479,San Diego Padres,Chicago Cubs,7,8
480,Arizona D'Backs,Colorado Rockies,5,1
481,Cleveland Indians,Houston Astros,4,0
482,New York Mets,Los Angeles Dodgers,2,3
483,Milwaukee Brewers,Miami Marlins,10,2
484,Baltimore Orioles,Minnesota Twins,5,3
485,Kansas City Royals,New York Yankees,7,10
486,Tampa Bay Rays,Seattle Mariners,4,6
487,Toronto Blue Jays,San Francisco Giants,4,0
488,Chicago White Sox,Texas Rangers,11,13
489,Detroit Tigers,Washington Nationals,5,4
490,St. Louis Cardinals,Los Angeles Angels,5,2
491,Philadelphia Phillies,Atlanta Braves,1,5
492,Oakland Athletics,Boston Red Sox,3,13
493,San Diego Padres,Chicago Cubs,7,4
494,San Diego Padres,Chicago Cubs,1,0
495,Pittsburgh Pirates,Cincinnati Reds,5,4
496,Arizona D'Backs,Colorado Rockies,7,8
497,Cleveland Indians,Houston Astros,3,5
498,New York Mets,Los Angeles Dodgers,4,3
499,Milwaukee Brewers,Miami Marlins,2,3
500,Baltimore Orioles,Minnesota Twins,9,2
501,Kansas City Royals,New York Yankees,7,3
502,Tampa Bay Rays,Seattle Mariners,5,6
503,Toronto Blue Jays,San Francisco Giants,4,5
504,Chicago White Sox,Texas Rangers,5,6
505,Detroit Tigers,Washington Nationals,2,3
506,St. Louis Cardinals,Los Angeles Angels,12,10
507,San Francisco Giants,Arizona D'Backs,4,2
508,Philadelphia Phillies,Atlanta Braves,7,4
509,Detroit Tigers,Baltimore Orioles,5,7
510,Houston Astros,Boston Red Sox,1,11
511,New York Mets,Los Angeles Dodgers,0,5
512,San Diego Padres,Milwaukee Brewers,3,0
513,Kansas City Royals,New York Yankees,3,7
514,San Francisco Giants,Arizona D'Backs,3,1
515,Detroit Tigers,Baltimore Orioles,0,1
516,Houston Astros,Boston Red Sox,7,6
517,Pittsburgh Pirates,Chicago Cubs,4,9
518,Minnesota Twins,Cleveland Indians,6,7
519,New York Mets,Colorado Rockies,2,5
520,Atlanta Braves,Kansas City Royals,1,5
521,St. Louis Cardinals,Los Angeles Dodgers,4,8
522,San Diego Padres,Milwaukee Brewers,0,1
523,Chicago White Sox,New York Yankees,7,1
524,Cincinnati Reds,Philadelphia Phillies,2,3
525,Los Angeles Angels,Seattle Mariners,7,6
526,Oakland Athletics,Tampa Bay Rays,6,3
527,Toronto Blue Jays,Texas Rangers,5,0
528,Miami Marlins,Washington Nationals,3,5
529,San Francisco Giants,Arizona D'Backs,5,3
530,Detroit Tigers,Baltimore Orioles,3,9
531,Houston Astros,Boston Red Sox,5,6
532,Pittsburgh Pirates,Chicago Cubs,2,8
533,Minnesota Twins,Cleveland Indians,6,3
534,New York Mets,Colorado Rockies,4,7
535,Atlanta Braves,Kansas City Royals,5,0
536,St. Louis Cardinals,Los Angeles Dodgers,3,5
537,San Diego Padres,Milwaukee Brewers,8,7
538,Chicago White Sox,New York Yankees,1,2
539,Cincinnati Reds,Philadelphia Phillies,3,4
540,Los Angeles Angels,Seattle Mariners,9,7
541,Oakland Athletics,Tampa Bay Rays,0,6
542,Toronto Blue Jays,Texas Rangers,5,6
543,Miami Marlins,Washington Nationals,4,6
544,Miami Marlins,Washington Nationals,7,1
545,San Francisco Giants,Arizona D'Backs,2,1
546,Detroit Tigers,Baltimore Orioles,6,5
547,Houston Astros,Boston Red Sox,9,10
548,Pittsburgh Pirates,Chicago Cubs,2,1
549,Minnesota Twins,Cleveland Indians,5,1
550,New York Mets,Colorado Rockies,3,4
551,Atlanta Braves,Kansas City Royals,2,4
552,St. Louis Cardinals,Los Angeles Dodgers,5,2
553,San Diego Padres,Milwaukee Brewers,2,3
554,Chicago White Sox,New York Yankees,5,7
555,Cincinnati Reds,Philadelphia Phillies,9,4
556,Los Angeles Angels,Seattle Mariners,3,0
557,Oakland Athletics,Tampa Bay Rays,7,6
558,Toronto Blue Jays,Texas Rangers,6,7
559,Miami Marlins,Washington Nationals,5,1
560,New York Yankees,Arizona D'Backs,2,12
561,Cincinnati Reds,Cleveland Indians,6,15
562,Minnesota Twins,Detroit Tigers,8,10
563,Los Angeles Angels,Los Angeles Dodgers,7,6
564,Texas Rangers,Oakland Athletics,1,3
565,Miami Marlins,Philadelphia Phillies,5,3
