,Home Team,Away Team,Home Team Score,Away Team Score
0,New York Mets,Kansas City Royals,3,4
1,St. Louis Cardinals,Pittsburgh Pirates,1,4
2,Toronto Blue Jays,Tampa Bay Rays,5,3
3,Chicago Cubs,Los Angeles Angels,9,0
4,Colorado Rockies,Arizona D'Backs,10,5
5,Washington Nationals,Atlanta Braves,4,3
6,Minnesota Twins,Baltimore Orioles,2,3
7,Philadelphia Phillies,Cincinnati Reds,2,6
8,San Francisco Giants,Milwaukee Brewers,12,3
9,Chicago White Sox,Oakland Athletics,4,3
10,Los Angeles Dodgers,San Diego Padres,15,0
11,Toronto Blue Jays,Tampa Bay Rays,5,3
12,Seattle Mariners,Texas Rangers,2,3
13,Chicago Cubs,Los Angeles Angels,6,1
14,Colorado Rockies,Arizona D'Backs,6,11
15,Boston Red Sox,Cleveland Indians,6,2
16,New York Mets,Kansas City Royals,2,0
17,Detroit Tigers,Miami Marlins,8,7
18,San Francisco Giants,Milwaukee Brewers,2,1
19,Houston Astros,New York Yankees,5,3
20,Chicago White Sox,Oakland Athletics,5,4
21,St. Louis Cardinals,Pittsburgh Pirates,5,6
22,Los Angeles Dodgers,San Diego Padres,3,0
23,Toronto Blue Jays,Tampa Bay Rays,2,3
24,Seattle Mariners,Texas Rangers,10,2
25,Colorado Rockies,Arizona D'Backs,4,3
26,Washington Nationals,Atlanta Braves,3,1
27,Minnesota Twins,Baltimore Orioles,2,4
28,Philadelphia Phillies,Cincinnati Reds,2,3
29,Boston Red Sox,Cleveland Indians,6,7
30,Detroit Tigers,Miami Marlins,7,3
31,San Francisco Giants,Milwaukee Brewers,3,4
32,Houston Astros,New York Yankees,6,16
33,Chicago White Sox,Oakland Athletics,1,2
34,St. Louis Cardinals,Pittsburgh Pirates,1,5
35,Los Angeles Dodgers,San Diego Padres,7,0
36,Toronto Blue Jays,Tampa Bay Rays,3,5
37,Seattle Mariners,Texas Rangers,9,5
38,Texas Rangers,Los Angeles Angels,3,4
39,Chicago Cubs,Arizona D'Backs,14,6
40,Minnesota Twins,Baltimore Orioles,2,4
41,Philadelphia Phillies,Cincinnati Reds,6,10
42,Houston Astros,New York Yankees,5,8
43,Chicago White Sox,Oakland Athletics,6,1
44,Los Angeles Dodgers,San Francisco Giants,6,12
45,Miami Marlins,Washington Nationals,6,4
46,Texas Rangers,Los Angeles Angels,7,3
47,Chicago Cubs,Arizona D'Backs,2,3
48,St. Louis Cardinals,Atlanta Braves,7,4
49,Tampa Bay Rays,Baltimore Orioles,1,6
50,Cleveland Indians,Chicago White Sox,7,1
51,Pittsburgh Pirates,Cincinnati Reds,6,5
52,San Diego Padres,Colorado Rockies,13,6
53,New York Yankees,Detroit Tigers,0,4
54,Minnesota Twins,Kansas City Royals,3,4
55,Houston Astros,Milwaukee Brewers,4,6
56,Philadelphia Phillies,New York Mets,2,7
57,Oakland Athletics,Seattle Mariners,3,2
58,Los Angeles Dodgers,San Francisco Giants,2,3
59,Boston Red Sox,Toronto Blue Jays,8,7
60,Texas Rangers,Los Angeles Angels,4,1
61,Chicago Cubs,Arizona D'Backs,4,2
62,St. Louis Cardinals,Atlanta Braves,12,2
63,Cleveland Indians,Chicago White Sox,3,7
64,Pittsburgh Pirates,Cincinnati Reds,1,5
65,San Diego Padres,Colorado Rockies,16,3
66,New York Yankees,Detroit Tigers,8,4
67,Minnesota Twins,Kansas City Royals,0,7
68,Houston Astros,Milwaukee Brewers,6,4
69,Philadelphia Phillies,New York Mets,1,0
70,Oakland Athletics,Seattle Mariners,6,1
71,Los Angeles Dodgers,San Francisco Giants,3,2
72,Boston Red Sox,Toronto Blue Jays,8,4
73,Texas Rangers,Los Angeles Angels,1,3
74,Chicago Cubs,Arizona D'Backs,7,3
75,St. Louis Cardinals,Atlanta Braves,12,7
76,Tampa Bay Rays,Baltimore Orioles,3,5
77,Pittsburgh Pirates,Cincinnati Reds,1,2
78,San Diego Padres,Colorado Rockies,3,6
79,Minnesota Twins,Kansas City Royals,3,4
