,Home Team,Away Team,Home Team Score,Away Team Score
0,Colorado Rockies,Arizona D'Backs,2,8
1,Philadelphia Phillies,Atlanta Braves,5,8
2,Minnesota Twins,Baltimore Orioles,2,3
3,Chicago White Sox,Kansas City Royals,14,7
4,San Francisco Giants,Los Angeles Dodgers,1,0
5,Chicago Cubs,Miami Marlins,8,4
6,St. Louis Cardinals,New York Mets,4,9
7,Los Angeles Angels,Oakland Athletics,5,6
8,Milwaukee Brewers,San Diego Padres,2,1
9,Cleveland Indians,Seattle Mariners,1,2
10,Boston Red Sox,Tampa Bay Rays,4,6
11,Houston Astros,Texas Rangers,4,1
12,New York Yankees,Toronto Blue Jays,6,1
13,Colorado Rockies,Arizona D'Backs,8,9
14,Philadelphia Phillies,Atlanta Braves,5,4
15,Washington Nationals,Cincinnati Reds,2,0
16,Pittsburgh Pirates,Detroit Tigers,13,10
17,San Francisco Giants,Los Angeles Dodgers,1,0
18,Chicago Cubs,Miami Marlins,1,2
19,Los Angeles Angels,Oakland Athletics,2,1
20,Milwaukee Brewers,San Diego Padres,8,6
21,Boston Red Sox,Tampa Bay Rays,1,0
22,Houston Astros,Texas Rangers,1,5
23,New York Yankees,Toronto Blue Jays,4,2
24,Colorado Rockies,Arizona D'Backs,2,1
25,Philadelphia Phillies,Atlanta Braves,2,15
26,Minnesota Twins,Baltimore Orioles,6,2
27,Washington Nationals,Cincinnati Reds,13,7
28,Chicago White Sox,Kansas City Royals,4,3
29,San Francisco Giants,Los Angeles Dodgers,0,5
30,Chicago Cubs,Miami Marlins,10,6
31,St. Louis Cardinals,New York Mets,2,6
32,Los Angeles Angels,Oakland Athletics,8,3
33,Milwaukee Brewers,San Diego Padres,7,3
34,Cleveland Indians,Seattle Mariners,6,5
35,Boston Red Sox,Tampa Bay Rays,3,2
36,Houston Astros,Texas Rangers,9,3
37,New York Yankees,Toronto Blue Jays,3,5
38,Minnesota Twins,Baltimore Orioles,7,0
39,Washington Nationals,Cincinnati Reds,6,5
40,Pittsburgh Pirates,Detroit Tigers,1,0
41,Pittsburgh Pirates,Detroit Tigers,8,6
42,San Francisco Giants,Los Angeles Dodgers,0,9
43,Chicago Cubs,Miami Marlins,0,6
44,St. Louis Cardinals,New York Mets,5,1
45,Los Angeles Angels,Oakland Athletics,7,4
46,Cleveland Indians,Seattle Mariners,4,5
47,Boston Red Sox,Tampa Bay Rays,2,1
48,Houston Astros,Texas Rangers,8,2
49,New York Yankees,Toronto Blue Jays,4,7
50,Cleveland Indians,Los Angeles Angels,6,0
51,Los Angeles Dodgers,Arizona D'Backs,7,8
52,Washington Nationals,Atlanta Braves,8,1
53,Chicago Cubs,Cincinnati Reds,0,1
54,Kansas City Royals,Detroit Tigers,1,6
55,Baltimore Orioles,Houston Astros,1,6
56,Boston Red Sox,Miami Marlins,7,3
57,St. Louis Cardinals,Milwaukee Brewers,8,4
58,Texas Rangers,Oakland Athletics,1,3
59,Minnesota Twins,Pittsburgh Pirates,4,5
60,Colorado Rockies,San Diego Padres,7,4
61,Chicago White Sox,Toronto Blue Jays,2,4
62,Cleveland Indians,Los Angeles Angels,2,13
63,Los Angeles Dodgers,Arizona D'Backs,1,6
64,Washington Nationals,Atlanta Braves,6,13
65,Kansas City Royals,Detroit Tigers,1,0
66,Baltimore Orioles,Houston Astros,6,10
67,Boston Red Sox,Miami Marlins,4,2
68,St. Louis Cardinals,Milwaukee Brewers,4,5
69,Tampa Bay Rays,New York Yankees,4,11
70,Philadelphia Phillies,New York Mets,0,2
71,Texas Rangers,Oakland Athletics,4,1
72,Colorado Rockies,San Diego Padres,4,8
73,Seattle Mariners,San Francisco Giants,6,4
74,Chicago White Sox,Toronto Blue Jays,5,14
75,Cleveland Indians,Los Angeles Angels,2,3
76,Los Angeles Dodgers,Arizona D'Backs,0,3
77,Washington Nationals,Atlanta Braves,1,7
78,Baltimore Orioles,Houston Astros,2,3
79,St. Louis Cardinals,Milwaukee Brewers,6,0
80,Tampa Bay Rays,New York Yankees,2,7
81,Philadelphia Phillies,New York Mets,2,4
82,Texas Rangers,Oakland Athletics,2,6
83,Minnesota Twins,Pittsburgh Pirates,7,3
84,Colorado Rockies,San Diego Padres,5,2
85,Seattle Mariners,San Francisco Giants,1,10
86,Chicago White Sox,Toronto Blue Jays,4,3
87,Tampa Bay Rays,Boston Red Sox,2,3
88,Detroit Tigers,Chicago White Sox,9,7
89,Chicago Cubs,Milwaukee Brewers,8,0
90,Seattle Mariners,Minnesota Twins,2,4
91,Baltimore Orioles,New York Yankees,5,2
92,Texas Rangers,Oakland Athletics,6,3
93,Miami Marlins,Philadelphia Phillies,0,5
94,Cincinnati Reds,Pittsburgh Pirates,2,5
95,Colorado Rockies,San Diego Padres,3,1
96,Arizona D'Backs,St. Louis Cardinals,3,1
97,New York Mets,Washington Nationals,8,2
98,Oakland Athletics,Los Angeles Angels,9,13
99,Kansas City Royals,Cleveland Indians,2,3
100,Atlanta Braves,Colorado Rockies,8,3
101,San Diego Padres,Houston Astros,4,1
102,Chicago Cubs,Milwaukee Brewers,4,5
103,Baltimore Orioles,New York Yankees,7,3
104,Cincinnati Reds,Pittsburgh Pirates,3,14
