,Home Team,Away Team,Home Team Score,Away Team Score
105,Toronto Blue Jays,Texas Rangers,8,5
106,Oakland Athletics,Los Angeles Angels,7,3
107,Tampa Bay Rays,Boston Red Sox,3,10
108,Detroit Tigers,Chicago White Sox,6,1
109,Kansas City Royals,Cleveland Indians,1,0
110,Atlanta Braves,Colorado Rockies,2,3
111,San Diego Padres,Houston Astros,0,1
112,Chicago Cubs,Milwaukee Brewers,5,2
113,Seattle Mariners,Minnesota Twins,11,4
114,Baltimore Orioles,New York Yankees,3,8
115,Miami Marlins,Philadelphia Phillies,1,20
116,Cincinnati Reds,Pittsburgh Pirates,7,4
117,Los Angeles Dodgers,San Francisco Giants,5,7
118,Arizona D'Backs,St. Louis Cardinals,3,5
119,Toronto Blue Jays,Texas Rangers,1,5
120,New York Mets,Washington Nationals,3,2
121,Oakland Athletics,Los Angeles Angels,1,6
122,Tampa Bay Rays,Boston Red Sox,7,8
123,Detroit Tigers,Chicago White Sox,1,0
124,Kansas City Royals,Cleveland Indians,1,3
125,Atlanta Braves,Colorado Rockies,4,0
126,San Diego Padres,Houston Astros,1,4
127,Chicago Cubs,Milwaukee Brewers,3,0
128,Baltimore Orioles,New York Yankees,8,7
129,Miami Marlins,Philadelphia Phillies,6,3
130,Cincinnati Reds,Pittsburgh Pirates,0,5
131,Los Angeles Dodgers,San Francisco Giants,2,1
132,Arizona D'Backs,St. Louis Cardinals,4,1
133,Toronto Blue Jays,Texas Rangers,7,4
134,New York Mets,Washington Nationals,6,5
135,Toronto Blue Jays,Baltimore Orioles,7,1
136,Tampa Bay Rays,Chicago White Sox,5,4
137,Detroit Tigers,Cleveland Indians,0,2
138,San Diego Padres,Colorado Rockies,7,6
139,Seattle Mariners,Kansas City Royals,0,10
140,New York Mets,Miami Marlins,4,2
141,Houston Astros,Minnesota Twins,2,0
142,Cincinnati Reds,Philadelphia Phillies,5,6
143,Arizona D'Backs,San Francisco Giants,2,1
144,Milwaukee Brewers,St. Louis Cardinals,5,4
145,Los Angeles Angels,Texas Rangers,8,3
146,Atlanta Braves,Washington Nationals,0,2
147,Toronto Blue Jays,Baltimore Orioles,2,1
148,New York Yankees,Boston Red Sox,1,14
149,Tampa Bay Rays,Chicago White Sox,6,5
150,Pittsburgh Pirates,Chicago Cubs,8,5
151,Detroit Tigers,Cleveland Indians,1,2
152,San Diego Padres,Colorado Rockies,5,2
153,Seattle Mariners,Kansas City Royals,8,3
154,Oakland Athletics,Los Angeles Dodgers,0,4
155,New York Mets,Miami Marlins,8,6
156,Houston Astros,Minnesota Twins,1,4
157,Cincinnati Reds,Philadelphia Phillies,1,6
158,Arizona D'Backs,San Francisco Giants,4,5
159,Milwaukee Brewers,St. Louis Cardinals,3,5
160,Los Angeles Angels,Texas Rangers,11,1
161,Atlanta Braves,Washington Nationals,1,4
162,Toronto Blue Jays,Baltimore Orioles,3,5
163,New York Yankees,Boston Red Sox,10,7
164,Tampa Bay Rays,Chicago White Sox,1,2
165,Pittsburgh Pirates,Chicago Cubs,5,13
166,Detroit Tigers,Cleveland Indians,1,5
167,San Diego Padres,Colorado Rockies,4,6
168,Seattle Mariners,Kansas City Royals,4,2
169,Oakland Athletics,Los Angeles Dodgers,16,6
170,New York Mets,Miami Marlins,4,1
171,Houston Astros,Minnesota Twins,8,9
172,Cincinnati Reds,Philadelphia Phillies,3,4
173,Arizona D'Backs,San Francisco Giants,7,3
174,Milwaukee Brewers,St. Louis Cardinals,3,2
175,Los Angeles Angels,Texas Rangers,7,2
176,Atlanta Braves,Washington Nationals,5,3
177,New York Yankees,Boston Red Sox,3,6
178,Pittsburgh Pirates,Chicago Cubs,6,1
179,St. Louis Cardinals,Cincinnati Reds,13,4
180,Detroit Tigers,Cleveland Indians,3,9
181,Los Angeles Angels,Kansas City Royals,7,1
182,Chicago White Sox,Minnesota Twins,0,4
183,San Francisco Giants,San Diego Padres,7,0
184,Colorado Rockies,Washington Nationals,5,1
185,Baltimore Orioles,Boston Red Sox,3,7
186,Atlanta Braves,Chicago Cubs,4,0
187,St. Louis Cardinals,Cincinnati Reds,5,3
188,Toronto Blue Jays,Cleveland Indians,8,4
189,New York Yankees,Detroit Tigers,8,6
190,Texas Rangers,Houston Astros,2,3
191,Los Angeles Angels,Kansas City Royals,5,4
192,Arizona D'Backs,Los Angeles Dodgers,8,7
193,Pittsburgh Pirates,Miami Marlins,2,7
194,Milwaukee Brewers,New York Mets,5,6
195,San Francisco Giants,San Diego Padres,1,5
196,Oakland Athletics,Seattle Mariners,4,7
197,Philadelphia Phillies,Tampa Bay Rays,2,1
198,Colorado Rockies,Washington Nationals,2,1
199,Baltimore Orioles,Boston Red Sox,3,10
200,Atlanta Braves,Chicago Cubs,10,14
201,St. Louis Cardinals,Cincinnati Reds,6,1
202,Texas Rangers,Houston Astros,6,5
203,Los Angeles Angels,Kansas City Royals,5,3
204,Arizona D'Backs,Los Angeles Dodgers,9,1
205,Pittsburgh Pirates,Miami Marlins,1,0
206,Milwaukee Brewers,New York Mets,5,1
207,San Francisco Giants,San Diego Padres,4,5
208,Oakland Athletics,Seattle Mariners,8,10
209,Philadelphia Phillies,Tampa Bay Rays,9,4
210,Colorado Rockies,Washington Nationals,2,6
211,Baltimore Orioles,Boston Red Sox,1,3
212,St. Louis Cardinals,Cincinnati Reds,3,2
213,Texas Rangers,Houston Astros,3,1
214,Arizona D'Backs,Los Angeles Dodgers,2,7
215,Pittsburgh Pirates,Miami Marlins,7,3
216,Milwaukee Brewers,New York Mets,2,3
217,San Francisco Giants,San Diego Padres,1,10
218,Oakland Athletics,Seattle Mariners,2,1
219,Philadelphia Phillies,Tampa Bay Rays,10,4
220,Colorado Rockies,Washington Nationals,6,5
221,Philadelphia Phillies,Atlanta Braves,1,2
222,Cincinnati Reds,Milwaukee Brewers,10,4
223,Miami Marlins,New York Yankees,1,12
224,Washington Nationals,New York Mets,8,6
225,Chicago White Sox,Oakland Athletics,1,8
226,Colorado Rockies,Pittsburgh Pirates,6,2
227,Los Angeles Dodgers,San Diego Padres,10,3
228,Houston Astros,Seattle Mariners,1,2
229,Texas Rangers,Tampa Bay Rays,4,8
230,Boston Red Sox,Los Angeles Angels,10,1
231,San Francisco Giants,Arizona D'Backs,0,1
232,Philadelphia Phillies,Atlanta Braves,5,1
233,St. Louis Cardinals,Chicago Cubs,5,3
234,Baltimore Orioles,Detroit Tigers,2,4
235,Cincinnati Reds,Milwaukee Brewers,0,2
236,Cleveland Indians,Minnesota Twins,6,1
237,Miami Marlins,New York Yankees,9,1
238,Washington Nationals,New York Mets,5,2
239,Chicago White Sox,Oakland Athletics,2,10
240,Colorado Rockies,Pittsburgh Pirates,2,0
241,Los Angeles Dodgers,San Diego Padres,7,3
242,Houston Astros,Seattle Mariners,4,1
243,Texas Rangers,Tampa Bay Rays,7,2
244,Kansas City Royals,Toronto Blue Jays,3,11
245,Kansas City Royals,Toronto Blue Jays,4,5
246,Boston Red Sox,Los Angeles Angels,9,0
247,San Francisco Giants,Arizona D'Backs,4,3
248,Philadelphia Phillies,Atlanta Braves,3,7
249,Baltimore Orioles,Detroit Tigers,5,6
250,Cincinnati Reds,Milwaukee Brewers,0,2
251,Cleveland Indians,Minnesota Twins,1,2
252,Washington Nationals,New York Mets,5,11
253,Chicago White Sox,Oakland Athletics,11,12
254,Colorado Rockies,Pittsburgh Pirates,2,10
255,Los Angeles Dodgers,San Diego Padres,13,4
256,Houston Astros,Seattle Mariners,7,1
257,Texas Rangers,Tampa Bay Rays,2,4
258,Kansas City Royals,Toronto Blue Jays,5,15
259,Boston Red Sox,Los Angeles Angels,8,2
260,San Francisco Giants,Arizona D'Backs,1,3
261,New York Mets,Atlanta Braves,4,12
262,St. Louis Cardinals,Chicago Cubs,5,8
263,Baltimore Orioles,Detroit Tigers,8,13
264,Miami Marlins,Milwaukee Brewers,3,12
265,Toronto Blue Jays,New York Yankees,3,4
266,Pittsburgh Pirates,Philadelphia Phillies,0,7
267,Houston Astros,Seattle Mariners,9,2
268,San Francisco Giants,Los Angeles Angels,8,1
269,San Diego Padres,Arizona D'Backs,4,1
270,New York Mets,Atlanta Braves,5,3
271,Cleveland Indians,Baltimore Orioles,1,3
272,Houston Astros,Chicago White Sox,10,0
273,Chicago Cubs,Colorado Rockies,16,5
274,Kansas City Royals,Detroit Tigers,2,3
275,Kansas City Royals,Detroit Tigers,3,2
276,Washington Nationals,Los Angeles Dodgers,5,2
277,Miami Marlins,Milwaukee Brewers,0,8
278,Toronto Blue Jays,New York Yankees,8,5
279,Boston Red Sox,Oakland Athletics,7,3
280,Pittsburgh Pirates,Philadelphia Phillies,1,2
281,Cincinnati Reds,St. Louis Cardinals,2,4
282,Minnesota Twins,Tampa Bay Rays,7,8
283,Seattle Mariners,Texas Rangers,6,2
284,San Francisco Giants,Los Angeles Angels,3,4
285,San Diego Padres,Arizona D'Backs,2,6
286,New York Mets,Atlanta Braves,3,4
287,Cleveland Indians,Baltimore Orioles,4,0
288,Houston Astros,Chicago White Sox,10,1
289,Chicago Cubs,Colorado Rockies,2,5
290,Kansas City Royals,Detroit Tigers,4,12
291,Washington Nationals,Los Angeles Dodgers,0,4
292,Miami Marlins,Milwaukee Brewers,5,6
293,Toronto Blue Jays,New York Yankees,1,9
294,Boston Red Sox,Oakland Athletics,0,3
295,Pittsburgh Pirates,Philadelphia Phillies,2,6
296,Cincinnati Reds,St. Louis Cardinals,3,4
297,Minnesota Twins,Tampa Bay Rays,1,10
298,Seattle Mariners,Texas Rangers,9,7
299,San Francisco Giants,Los Angeles Angels,4,2
300,San Diego Padres,Arizona D'Backs,2,4
301,Cleveland Indians,Baltimore Orioles,7,3
302,Houston Astros,Chicago White Sox,7,1
303,Chicago Cubs,Colorado Rockies,9,7
304,Kansas City Royals,Detroit Tigers,8,5
305,Washington Nationals,Los Angeles Dodgers,3,4
306,Miami Marlins,Milwaukee Brewers,2,4
307,Toronto Blue Jays,New York Yankees,1,5
308,Boston Red Sox,Oakland Athletics,1,4
309,Pittsburgh Pirates,Philadelphia Phillies,2,3
310,Cincinnati Reds,St. Louis Cardinals,2,9
311,Minnesota Twins,Tampa Bay Rays,6,8
312,Seattle Mariners,Texas Rangers,4,7
313,Cleveland Indians,Baltimore Orioles,2,1
314,Seattle Mariners,Chicago White Sox,4,10
315,Atlanta Braves,Cincinnati Reds,4,10
316,San Diego Padres,Colorado Rockies,13,5
317,Los Angeles Angels,Houston Astros,2,0
318,Miami Marlins,Los Angeles Dodgers,1,2
319,Minnesota Twins,New York Yankees,1,14
320,Washington Nationals,San Francisco Giants,2,4
321,Oakland Athletics,Texas Rangers,9,4
322,Seattle Mariners,Chicago White Sox,1,0
323,Atlanta Braves,Cincinnati Reds,7,9
324,Chicago Cubs,Cleveland Indians,10,3
325,San Diego Padres,Colorado Rockies,0,8
326,Los Angeles Angels,Houston Astros,8,7
327,Milwaukee Brewers,Kansas City Royals,5,2
328,Miami Marlins,Los Angeles Dodgers,3,2
329,Minnesota Twins,New York Yankees,3,8
330,Arizona D'Backs,Philadelphia Phillies,8,4
331,Washington Nationals,San Francisco Giants,3,4
332,New York Mets,St. Louis Cardinals,6,5
333,Oakland Athletics,Texas Rangers,3,2
334,Boston Red Sox,Toronto Blue Jays,3,4
335,Tampa Bay Rays,Baltimore Orioles,8,4
336,Seattle Mariners,Chicago White Sox,4,3
337,Atlanta Braves,Cincinnati Reds,5,4
338,Chicago Cubs,Cleveland Indians,1,4
339,San Diego Padres,Colorado Rockies,2,5
340,Los Angeles Angels,Houston Astros,2,5
341,Milwaukee Brewers,Kansas City Royals,6,2
342,Miami Marlins,Los Angeles Dodgers,8,6
343,Minnesota Twins,New York Yankees,4,7
344,Arizona D'Backs,Philadelphia Phillies,3,5
345,Detroit Tigers,Pittsburgh Pirates,13,10
346,Detroit Tigers,Pittsburgh Pirates,3,8
347,Washington Nationals,San Francisco Giants,15,2
348,New York Mets,St. Louis Cardinals,1,9
349,Oakland Athletics,Texas Rangers,2,4
350,Boston Red Sox,Toronto Blue Jays,4,3
351,Tampa Bay Rays,Baltimore Orioles,9,5
352,Milwaukee Brewers,Chicago Cubs,0,1
353,Atlanta Braves,Cincinnati Reds,7,4
354,Seattle Mariners,Cleveland Indians,5,4
355,Chicago White Sox,Kansas City Royals,6,3
356,Minnesota Twins,New York Yankees,3,4
357,Arizona D'Backs,Philadelphia Phillies,8,2
358,Detroit Tigers,Pittsburgh Pirates,0,1
359,New York Mets,St. Louis Cardinals,3,4
360,Boston Red Sox,Toronto Blue Jays,5,4
361,New York Yankees,Los Angeles Angels,4,3
362,Detroit Tigers,Baltimore Orioles,0,6
363,Tampa Bay Rays,Boston Red Sox,4,3
364,Milwaukee Brewers,Chicago Cubs,2,3
365,Seattle Mariners,Cleveland Indians,5,6
366,Oakland Athletics,Houston Astros,8,1
367,Chicago White Sox,Kansas City Royals,7,4
368,Colorado Rockies,Miami Marlins,1,0
369,Cincinnati Reds,Minnesota Twins,15,9
370,Atlanta Braves,Philadelphia Phillies,3,7
371,St. Louis Cardinals,Pittsburgh Pirates,5,6
372,New York Mets,San Diego Padres,5,1
373,Los Angeles Dodgers,San Francisco Giants,4,6
374,Texas Rangers,Toronto Blue Jays,6,4
375,Arizona D'Backs,Washington Nationals,5,4
376,New York Yankees,Los Angeles Angels,11,1
377,Detroit Tigers,Baltimore Orioles,9,5
378,Tampa Bay Rays,Boston Red Sox,12,6
379,Milwaukee Brewers,Chicago Cubs,0,3
380,Seattle Mariners,Cleveland Indians,12,4
381,Oakland Athletics,Houston Astros,0,11
382,Chicago White Sox,Kansas City Royals,8,0
383,Chicago White Sox,Kansas City Royals,2,5
384,Colorado Rockies,Miami Marlins,1,4
385,Cincinnati Reds,Minnesota Twins,1,3
386,Atlanta Braves,Philadelphia Phillies,4,1
387,St. Louis Cardinals,Pittsburgh Pirates,2,6
388,New York Mets,San Diego Padres,2,12
389,Los Angeles Dodgers,San Francisco Giants,15,6
390,Los Angeles Dodgers,San Francisco Giants,3,8
391,Texas Rangers,Toronto Blue Jays,7,4
392,Arizona D'Backs,Washington Nationals,4,3
393,New York Yankees,Los Angeles Angels,2,1
394,Detroit Tigers,Baltimore Orioles,3,5
395,Tampa Bay Rays,Boston Red Sox,3,4
396,Milwaukee Brewers,Chicago Cubs,0,2
397,Seattle Mariners,Cleveland Indians,10,4
398,Oakland Athletics,Houston Astros,4,8
399,Chicago White Sox,Kansas City Royals,4,5
400,Colorado Rockies,Miami Marlins,0,3
401,Cincinnati Reds,Minnesota Twins,8,2
402,Atlanta Braves,Philadelphia Phillies,10,1
403,St. Louis Cardinals,Pittsburgh Pirates,0,5
404,New York Mets,San Diego Padres,14,2
405,Los Angeles Dodgers,San Francisco Giants,2,4
406,Texas Rangers,Toronto Blue Jays,2,7
407,Arizona D'Backs,Washington Nationals,1,3
408,Los Angeles Dodgers,Arizona D'Backs,5,8
409,Kansas City Royals,Boston Red Sox,6,10
410,Colorado Rockies,Chicago Cubs,2,3
411,Milwaukee Brewers,Cincinnati Reds,6,5
412,Texas Rangers,Cleveland Indians,5,7
413,Tampa Bay Rays,Detroit Tigers,3,2
414,New York Yankees,Houston Astros,1,2
415,Philadelphia Phillies,Miami Marlins,4,8
416,Toronto Blue Jays,Minnesota Twins,7,5
417,San Diego Padres,San Francisco Giants,5,6
418,Pittsburgh Pirates,Washington Nationals,2,3
419,Baltimore Orioles,Los Angeles Angels,2,3
420,Los Angeles Dodgers,Arizona D'Backs,3,4
421,Kansas City Royals,Boston Red Sox,7,6
422,Colorado Rockies,Chicago Cubs,3,1
423,Milwaukee Brewers,Cincinnati Reds,7,6
424,Texas Rangers,Cleveland Indians,8,6
425,Tampa Bay Rays,Detroit Tigers,1,2
426,New York Yankees,Houston Astros,4,0
427,Philadelphia Phillies,Miami Marlins,1,2
428,Toronto Blue Jays,Minnesota Twins,7,4
429,Atlanta Braves,New York Mets,3,2
430,Oakland Athletics,Seattle Mariners,3,6
431,San Diego Padres,San Francisco Giants,3,2
432,Chicago White Sox,St. Louis Cardinals,2,3
433,Pittsburgh Pirates,Washington Nationals,4,12
434,Baltimore Orioles,Los Angeles Angels,7,10
435,Los Angeles Dodgers,Arizona D'Backs,2,1
436,Kansas City Royals,Boston Red Sox,4,5
437,Colorado Rockies,Chicago Cubs,11,2
438,Milwaukee Brewers,Cincinnati Reds,3,1
439,Texas Rangers,Cleveland Indians,4,12
440,Tampa Bay Rays,Detroit Tigers,2,3
441,New York Yankees,Houston Astros,4,0
442,Philadelphia Phillies,Miami Marlins,6,0
443,Toronto Blue Jays,Minnesota Twins,0,4
444,Atlanta Braves,New York Mets,7,0
445,Oakland Athletics,Seattle Mariners,3,2
446,San Diego Padres,San Francisco Giants,4,9
447,Chicago White Sox,St. Louis Cardinals,2,3
448,Pittsburgh Pirates,Washington Nationals,3,9
449,Baltimore Orioles,Los Angeles Angels,3,12
450,Los Angeles Dodgers,Arizona D'Backs,5,2
451,Minnesota Twins,Chicago White Sox,5,6
452,Toronto Blue Jays,Cleveland Indians,13,11
453,Toronto Blue Jays,Cleveland Indians,4,13
454,New York Yankees,Houston Astros,6,5
455,Detroit Tigers,Kansas City Royals,6,10
456,Atlanta Braves,New York Mets,11,0
457,Oakland Athletics,Seattle Mariners,1,4
458,Boston Red Sox,Texas Rangers,5,11
459,Pittsburgh Pirates,Washington Nationals,1,3
460,Houston Astros,Arizona D'Backs,8,0
461,San Francisco Giants,Atlanta Braves,9,4
462,Minnesota Twins,Chicago White Sox,6,4
463,Miami Marlins,Cincinnati Reds,1,4
464,Detroit Tigers,Kansas City Royals,2,4
465,Pittsburgh Pirates,Milwaukee Brewers,6,4
466,Cleveland Indians,New York Yankees,6,7
467,Colorado Rockies,New York Mets,8,7
468,Baltimore Orioles,Oakland Athletics,4,6
469,Los Angeles Dodgers,San Diego Padres,4,0
470,Los Angeles Angels,Seattle Mariners,5,0
471,Chicago Cubs,St. Louis Cardinals,2,3
472,Toronto Blue Jays,Tampa Bay Rays,2,6
473,Boston Red Sox,Texas Rangers,5,1
474,Philadelphia Phillies,Washington Nationals,3,7
475,Houston Astros,Arizona D'Backs,3,4
476,San Francisco Giants,Atlanta Braves,11,2
477,Minnesota Twins,Chicago White Sox,8,4
478,Miami Marlins,Cincinnati Reds,6,0
479,Detroit Tigers,Kansas City Royals,3,2
480,Pittsburgh Pirates,Milwaukee Brewers,3,5
481,Cleveland Indians,New York Yankees,2,5
482,Colorado Rockies,New York Mets,2,0
483,Baltimore Orioles,Oakland Athletics,0,2
484,Los Angeles Dodgers,San Diego Padres,4,7
485,Los Angeles Angels,Seattle Mariners,8,9
486,Chicago Cubs,St. Louis Cardinals,6,8
487,Toronto Blue Jays,Tampa Bay Rays,3,5
488,Boston Red Sox,Texas Rangers,6,5
489,Philadelphia Phillies,Washington Nationals,3,1
490,Houston Astros,Arizona D'Backs,1,3
491,San Francisco Giants,Atlanta Braves,4,3
492,Minnesota Twins,Chicago White Sox,5,3
493,Miami Marlins,Cincinnati Reds,8,5
494,Detroit Tigers,Kansas City Royals,2,4
495,Pittsburgh Pirates,Milwaukee Brewers,9,0
496,Cleveland Indians,New York Yankees,4,7
497,Colorado Rockies,New York Mets,3,2
498,Baltimore Orioles,Oakland Athletics,1,2
499,Los Angeles Dodgers,San Diego Padres,0,3
500,Los Angeles Angels,Seattle Mariners,8,2
501,Chicago Cubs,St. Louis Cardinals,3,4
502,Toronto Blue Jays,Tampa Bay Rays,2,1
503,Boston Red Sox,Texas Rangers,6,1
504,Philadelphia Phillies,Washington Nationals,4,5
505,Miami Marlins,Chicago Cubs,2,14
506,New York Mets,Cincinnati Reds,7,6
507,Houston Astros,Oakland Athletics,16,2
508,San Francisco Giants,Philadelphia Phillies,0,11
509,Washington Nationals,San Diego Padres,8,5
510,Minnesota Twins,St. Louis Cardinals,6,0
511,Detroit Tigers,Texas Rangers,6,7
512,Kansas City Royals,Baltimore Orioles,15,7
513,Pittsburgh Pirates,Chicago White Sox,10,6
514,Miami Marlins,Chicago Cubs,3,4
515,New York Mets,Cincinnati Reds,2,7
516,Los Angeles Angels,Colorado Rockies,2,4
517,Arizona D'Backs,Los Angeles Dodgers,8,5
518,Cleveland Indians,Milwaukee Brewers,2,3
519,Boston Red Sox,New York Yankees,2,3
520,Houston Astros,Oakland Athletics,4,2
521,San Francisco Giants,Philadelphia Phillies,2,4
522,Washington Nationals,San Diego Padres,4,0
523,Minnesota Twins,St. Louis Cardinals,7,1
524,Atlanta Braves,Tampa Bay Rays,1,0
525,Detroit Tigers,Texas Rangers,7,4
526,Seattle Mariners,Toronto Blue Jays,5,0
527,Kansas City Royals,Baltimore Orioles,3,5
528,Pittsburgh Pirates,Chicago White Sox,6,5
529,Miami Marlins,Chicago Cubs,4,13
530,New York Mets,Cincinnati Reds,1,2
531,Los Angeles Angels,Colorado Rockies,8,0
532,Arizona D'Backs,Los Angeles Dodgers,3,6
533,Cleveland Indians,Milwaukee Brewers,6,2
534,Boston Red Sox,New York Yankees,6,9
535,Houston Astros,Oakland Athletics,4,1
536,San Francisco Giants,Philadelphia Phillies,3,11
537,Washington Nationals,San Diego Padres,1,2
538,Atlanta Braves,Tampa Bay Rays,5,2
539,Detroit Tigers,Texas Rangers,4,5
540,Seattle Mariners,Toronto Blue Jays,2,5
541,Minnesota Twins,Los Angeles Angels,4,7
542,Washington Nationals,Arizona D'Backs,2,1
543,Kansas City Royals,Baltimore Orioles,6,11
544,Milwaukee Brewers,Colorado Rockies,5,2
545,Cincinnati Reds,Los Angeles Dodgers,4,1
546,Atlanta Braves,Miami Marlins,9,2
547,Boston Red Sox,New York Yankees,5,4
548,San Francisco Giants,Philadelphia Phillies,3,6
549,St. Louis Cardinals,San Diego Padres,2,1
550,Seattle Mariners,Toronto Blue Jays,9,3
551,Minnesota Twins,Los Angeles Angels,5,4
552,Washington Nationals,Arizona D'Backs,3,1
553,Tampa Bay Rays,Baltimore Orioles,4,9
554,Chicago White Sox,Chicago Cubs,2,11
555,Kansas City Royals,Cleveland Indians,10,9
556,Milwaukee Brewers,Colorado Rockies,11,10
557,Texas Rangers,Houston Astros,1,0
558,Cincinnati Reds,Los Angeles Dodgers,6,2
559,Atlanta Braves,Miami Marlins,3,6
560,Oakland Athletics,New York Yankees,10,5
561,New York Mets,Philadelphia Phillies,3,1
562,San Francisco Giants,Pittsburgh Pirates,2,11
563,St. Louis Cardinals,San Diego Padres,9,5
564,Boston Red Sox,Toronto Blue Jays,3,5
565,Minnesota Twins,Los Angeles Angels,5,3
566,Washington Nationals,Arizona D'Backs,2,1
